Table,OSPlatform,ActionType,DeviceCount
DeviceNetworkEvents,Linux,ConnectionSuccess,8405
DeviceEvents,Linux,AntivirusScanCompleted,5925
DeviceNetworkEvents,Linux,ConnectionFailed,5845
DeviceNetworkEvents,Linux,InboundConnectionAccepted,8287
DeviceNetworkEvents,Linux,ConnectionRequest,8563
DeviceEvents,Linux,AntivirusReport,7388
DeviceLogonEvents,Linux,LogonFailed,5154
DeviceFileEvents,Linux,FileDeleted,8543
DeviceEvents,Linux,ScriptContent,8553
DeviceLogonEvents,Linux,LogonSuccess,8189
DeviceProcessEvents,Linux,ProcessCreated,8598
DeviceFileEvents,Linux,FileCreated,7680
DeviceFileEvents,Linux,FileRenamed,7939
DeviceEvents,WindowsServer2022,GetClipboardData,708
DeviceEvents,WindowsServer2022,PnpDeviceAllowed,648
DeviceEvents,WindowsServer2022,WmiBindEventFilterToConsumer,628
DeviceEvents,WindowsServer2022,SensitiveFileRead,388
DeviceEvents,WindowsServer2022,ScheduledTaskDeleted,665
DeviceEvents,WindowsServer2022,AntivirusReport,877
DeviceEvents,WindowsServer2022,FirewallOutboundConnectionBlocked,91
DeviceEvents,WindowsServer2022,ExploitGuardWin32SystemCallBlocked,166
DeviceEvents,WindowsServer2022,AuditPolicyModification,823
DeviceEvents,WindowsServer2022,ShellLinkCreateFileEvent,866
DeviceEvents,WindowsServer2022,ScheduledTaskCreated,755
DeviceEvents,WindowsServer2022,CreateRemoteThreadApiCall,845
DeviceEvents,WindowsServer2022,AppControlPolicyApplied,171
DeviceEvents,WindowsServer2022,FirewallInboundConnectionToAppBlocked,88
DeviceEvents,WindowsServer2022,ProcessPrimaryTokenModified,782
DeviceEvents,WindowsServer2022,BrowserLaunchedToOpenUrl,792
DeviceEvents,WindowsServer2022,DriverLoad,891
DeviceEvents,WindowsServer2022,ServiceInstalled,854
DeviceEvents,WindowsServer2022,PnpDeviceConnected,849
DeviceNetworkEvents,WindowsServer2022,ListeningConnectionCreated,838
DeviceEvents,WindowsServer2022,FirewallInboundConnectionBlocked,91
DeviceEvents,WindowsServer2022,RemoteDesktopConnection,881
DeviceEvents,WindowsServer2022,ClrUnbackedModuleLoaded,855
DeviceEvents,WindowsServer2022,ExploitGuardAcgEnforced,205
DeviceEvents,WindowsServer2022,OpenProcessApiCall,865
DeviceEvents,WindowsServer2022,PowerShellCommand,893
DeviceEvents,WindowsServer2022,TvmAxonTelemetryEvent,891
DeviceEvents,WindowsServer2022,NtProtectVirtualMemoryApiCall,888
DeviceNetworkEvents,WindowsServer2022,ConnectionAcknowledged,888
DeviceEvents,WindowsServer2022,UsbDriveMounted,560
DeviceEvents,WindowsServer2022,ScheduledTaskUpdated,887
DeviceEvents,WindowsServer2022,TamperingAttempt,862
DeviceRegistryEvents,WindowsServer2022,RegistryKeyCreated,898
DeviceRegistryEvents,WindowsServer2022,RegistryKeyDeleted,898
DeviceRegistryEvents,WindowsServer2022,RegistryValueDeleted,894
DeviceEvents,WindowsServer2022,DpapiAccessed,898
DeviceEvents,WindowsServer2022,DnsQueryResponse,300
DeviceEvents,WindowsServer2022,ProcessCreatedUsingWmiQuery,898
DeviceFileEvents,WindowsServer2022,FileDeleted,893
DeviceFileEvents,WindowsServer2022,FileModified,896
DeviceFileEvents,WindowsServer2022,FileRenamed,897
DeviceEvents,WindowsServer2022,NamedPipeEvent,898
DeviceEvents,WindowsServer2022,NtAllocateVirtualMemoryApiCall,878
DeviceImageLoadEvents,WindowsServer2022,ImageLoaded,898
DeviceEvents,WindowsServer2022,LdapSearch,895
DeviceFileEvents,WindowsServer2022,FileCreated,898
DeviceNetworkEvents,WindowsServer2022,NetworkSignatureInspected,888
DeviceEvents,WindowsServer2022,ReadProcessMemoryApiCall,849
DeviceRegistryEvents,WindowsServer2022,RegistryValueSet,898
DeviceLogonEvents,WindowsServer2022,LogonAttempted,886
DeviceProcessEvents,WindowsServer2022,ProcessCreated,898
DeviceLogonEvents,WindowsServer2022,LogonFailed,799
DeviceLogonEvents,WindowsServer2022,LogonSuccess,888
DeviceNetworkEvents,WindowsServer2022,ConnectionSuccess,898
DeviceNetworkEvents,WindowsServer2022,ConnectionFailed,895
DeviceNetworkEvents,WindowsServer2022,ConnectionAttempt,863
DeviceNetworkEvents,WindowsServer2022,InboundConnectionAccepted,893
DeviceEvents,Windows11,AuditPolicyModification,2615
DeviceEvents,Windows11,UserAccountPasswordResetAttempt,7268
DeviceEvents,Windows11,WriteToLsassProcessMemory,1878
DeviceEvents,Windows11,UserAccountModified,1225
DeviceEvents,Windows11,ExploitGuardNonMicrosoftSignedBlocked,7133
DeviceNetworkEvents,Windows11,InboundConnectionAccepted,7187
DeviceEvents,Windows11,WmiBindEventFilterToConsumer,4689
DeviceEvents,Windows11,SecurityGroupDeleted,4420
DeviceEvents,Windows11,LdapSearch,7429
DeviceNetworkEvents,Windows11,NetworkSignatureInspected,7062
DeviceLogonEvents,Windows11,LogonFailed,6152
DeviceEvents,Windows11,ExploitGuardChildProcessAudited,4438
DeviceEvents,Windows11,UserAccountAddedToLocalGroup,5705
DeviceEvents,Windows11,UserAccountRemovedFromLocalGroup,5698
DeviceEvents,Windows11,SecurityGroupCreated,4693
DeviceEvents,Windows11,ExploitGuardAcgEnforced,7412
DeviceEvents,Windows11,ExploitGuardWin32SystemCallBlocked,7279
DeviceEvents,Windows11,ProcessPrimaryTokenModified,7269
DeviceEvents,Windows11,ServiceInstalled,7685
DeviceEvents,Windows11,SafeDocFileScan,5265
DeviceEvents,Windows11,CreateRemoteThreadApiCall,7827
DeviceNetworkEvents,Windows11,ConnectionFound,7138
DeviceNetworkEvents,Windows11,ConnectionAttempt,7478
DeviceEvents,Windows11,DnsQueryResponse,7765
DeviceFileEvents,Windows11,FileRenamed,7890
DeviceFileEvents,Windows11,FileDeleted,7855
DeviceFileEvents,Windows11,FileModified,7890
DeviceEvents,Windows11,ScheduledTaskUpdated,7881
DeviceEvents,Windows11,DriverLoad,7889
DeviceEvents,Windows11,AntivirusReport,7773
DeviceEvents,Windows11,AppControlPolicyApplied,7850
DeviceEvents,Windows11,AntivirusScanCompleted,7330
DeviceEvents,Windows11,ClrUnbackedModuleLoaded,7524
DeviceEvents,Windows11,SensitiveFileRead,7088
DeviceEvents,Windows11,PnpDeviceAllowed,7757
DeviceEvents,Windows11,ControlledFolderAccessViolationAudited,5609
DeviceEvents,Windows11,OpenProcessApiCall,2208
DeviceEvents,Windows11,AsrLsassCredentialTheftBlocked,7489
DeviceEvents,Windows11,AppControlCodeIntegrityPolicyAudited,7868
DeviceEvents,Windows11,AppControlCodeIntegritySigningInformation,7874
DeviceEvents,Windows11,TvmAxonTelemetryEvent,7886
DeviceEvents,Windows11,AppControlExecutableBlocked,3589
DeviceNetworkEvents,Windows11,DnsConnectionInspected,7848
